language,iso6393,branch,mean_jaccard,min_jaccard,max_jaccard,n_inventories,n_english_inventories,status
Russian,rus,Slavic,0.15330975549378897,0.09333333333333334,0.23809523809523808,3,9,computed
Spanish,spa,Romance,0.16369787936638247,0.11290322580645161,0.27450980392156865,5,9,computed
Mandarin,cmn,Sinitic,0.1688395069698918,0.11594202898550725,0.23529411764705882,4,9,computed
Brazilian Portuguese,por,Romance,0.18165525329626853,0.12345679012345678,0.2833333333333333,4,9,computed
Korean,kor,Koreanic,0.19995377766936592,0.14814814814814814,0.29508196721311475,4,9,computed
Hindi,hin,Indo-Aryan,0.20271399255224282,0.12096774193548387,0.2876712328767123,5,9,computed
Bengali,ben,Indo-Aryan,0.20902129267257868,0.14285714285714285,0.30303030303030304,5,9,computed
Japanese,jpn,Japonic,0.22456225036040134,0.10344827586206896,0.375,3,9,computed
French,fra,Romance,0.24857796370410648,0.16923076923076924,0.37037037037037035,4,9,computed
Romanian,ron,Romance,0.2552291354547339,0.14285714285714285,0.4489795918367347,3,9,computed
Turkish,tur,Turkic,0.26351456605787055,0.14705882352941177,0.4107142857142857,4,9,computed
Dutch,nld,Germanic,0.30267567468172113,0.19767441860465115,0.43548387096774194,8,9,computed
Somali,som,Cushitic,0.30522661381826033,0.23376623376623376,0.38461538461538464,2,9,computed
Albanian,als,Albanian,0.32330716875569515,0.25,0.47058823529411764,3,9,computed
Farsi,pes,Iranian,0.3783866668926227,0.27586206896551724,0.5,4,9,computed
German,deu,Germanic,0.42230872829295685,0.3076923076923077,0.58,4,9,computed
